id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
152263,Cozy apartment in a brownstone,2019-11-17,Manhattan,Harlem,96.0,10.0,10.0,40.804970000000004,-73.95016,Apartment,Entire home/apt,8,1,2,0,300.0,0.0,100.0,1,2,43,2019-11-17,2.22,222,288,0
159913,"Chelsea living, 2BR best location",2019-10-25,Manhattan,Chelsea,97.0,10.0,10.0,40.74346,-73.99882,Apartment,Private room,2,1,1,0,150.0,100.0,0.0,2,2,26,2019-10-25,1.83,47,344,0
160994,In the heart of East Village,2019-11-26,Manhattan,East Village,97.0,10.0,9.0,40.72972,-73.97995,Apartment,Entire home/apt,2,1,1,600,200.0,200.0,50.0,1,2,17,2019-11-26,1.13,113,97,0
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 5 ☆,2019-12-02,Manhattan,East Village,80.0,10.0,9.0,40.72636,-73.98917,Apartment,Entire home/apt,5,1,1,550,99.0,100.0,81.0,1,2,53,2019-12-02,3.03,306,295,0
173742,"Elegant 2-BR duplex, Union Square",2019-11-11,Manhattan,Gramercy,94.0,10.0,9.0,40.734759999999994,-73.98451999999999,Apartment,Entire home/apt,5,2,2,0,400.0,500.0,120.0,2,2,12,2019-11-11,1.12,110,332,0
179741,Spring st SoHo Apartment,2019-10-27,Manhattan,Nolita,98.0,10.0,9.0,40.72133,-73.99665999999999,Apartment,Entire home/apt,6,1,2,700,300.0,0.0,100.0,1,1,7,2019-10-27,0.1,10,71,0
181972,Gorgeous Entire Manhattan Townhouse,2019-11-29,Manhattan,Harlem,94.0,10.0,10.0,40.8296,-73.94651,Townhouse,Entire home/apt,8,2,5,0,199.0,0.0,75.0,1,2,26,2019-11-29,1.26,126,44,0
189135,Hell's Kitchen Funky 80's Hideaway!,2019-12-01,Manhattan,Hell's Kitchen,93.0,10.0,9.0,40.76311,-73.99388,Apartment,Private room,3,1,1,0,99.0,0.0,0.0,1,1,22,2019-12-01,1.03,97,358,0
197753,Large room in elevator drman bldg,2019-11-22,Manhattan,Harlem,94.0,9.0,10.0,40.83127,-73.94718,Apartment,Private room,3,1,1,0,68.0,0.0,20.0,2,2,40,2019-11-22,3.9,315,249,0
211974,East Village House -- Unique!,2019-11-01,Manhattan,East Village,95.0,9.0,9.0,40.72956,-73.97903000000001,Tiny house,Entire home/apt,2,1,1,0,250.0,500.0,100.0,2,1,32,2019-11-01,0.71,70,87,0
212178,1 Bedroom Pre War apt,2019-11-24,Manhattan,Theater District,97.0,10.0,10.0,40.75877,-73.98863,Apartment,Entire home/apt,2,1,1,0,230.0,100.0,45.0,1,2,29,2019-11-24,1.92,193,95,0
219922,"Lovely Bdr in Harlem, Manhattan",2019-10-23,Manhattan,Harlem,95.0,9.0,9.0,40.816,-73.95545,Townhouse,Private room,1,1,1,0,100.0,100.0,30.0,1,1,6,2019-10-23,0.41,37,86,0
228979,1BDR - Hell's Kitchen Hideaway,2019-10-11,Manhattan,Hell's Kitchen,97.0,10.0,10.0,40.76189,-73.99,Apartment,Private room,1,1,1,0,130.0,300.0,30.0,1,2,2,2019-10-11,0.54,54,270,0
