id,name,last_review,neighbourhood_group_cleansed,neighbourhood_cleansed,review_scores_rating,review_scores_location,review_scores_value,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,square_feet,price,security_deposit,cleaning_fee,guests_included,minimum_nights,number_of_reviews_ltm,last_review,reviews_per_month,number_of_reviews,availability_365,crimes
66275,Magic Room Lower East Side 地处纽约SOHO区购物美食文化艺术的中心地段,2019-11-20,Manhattan,Lower East Side,97.0,10.0,10.0,40.71904,-73.99392,Apartment,Private room,5,1,1,0,95.0,0.0,60.0,1,1,33.0,2019-11-20,1.26,130,340,114
68099,Cozy room in Upper West Side,2019-10-28,Manhattan,Upper West Side,84.0,9.0,8.0,40.80082,-73.9652,Apartment,Private room,1,1,1,0,109.0,0.0,0.0,1,1,18.0,2019-10-28,1.08,112,365,23
68974,Unique spacious loft on the Bowery,2019-11-10,Manhattan,Little Italy,97.0,10.0,9.0,40.71943,-73.99627,Loft,Entire home/apt,8,1,3,1500,575.0,2000.0,150.0,6,2,29.0,2019-11-10,1.96,209,329,54
80493,Cozy room in East Village with AC,2019-11-23,Manhattan,East Village,87.0,10.0,9.0,40.72329,-73.98486,Apartment,Private room,2,1,1,0,75.0,0.0,20.0,1,2,26.0,2019-11-23,1.82,192,327,107
83847,East Village Designer's 1-BR APT,2019-11-17,Manhattan,East Village,99.0,9.0,9.0,40.72451,-73.98094,Apartment,Entire home/apt,2,1,1,0,225.0,300.0,100.0,2,2,6.0,2019-11-17,0.34,36,72,58
84659,Large Studio--Heart of East Village,2019-12-02,Manhattan,East Village,94.0,10.0,9.0,40.72843,-73.98895,Apartment,Entire home/apt,2,1,1,0,159.0,0.0,85.0,2,1,72.0,2019-12-02,3.96,416,200,104
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,2019-12-01,Manhattan,Lower East Side,95.0,10.0,10.0,40.71965,-73.98766,Apartment,Entire home/apt,6,1,2,0,199.0,500.0,75.0,2,2,27.0,2019-12-01,1.54,162,137,137
87279,A Cozy Uptown Private Bedroom,2019-12-06,Manhattan,East Harlem,93.0,9.0,10.0,40.80783,-73.93878,Apartment,Private room,1,1,1,0,69.0,100.0,0.0,1,1,13.0,2019-12-06,1.21,127,356,51
115678,Your Stunning Vacation Apartment!,2019-11-20,Manhattan,Harlem,91.0,9.0,9.0,40.81822,-73.94095,Apartment,Entire home/apt,16,1,2,750,99.0,100.0,50.0,2,1,49.0,2019-11-20,3.27,340,284,85
123784,NYC Studio for Rent in Townhouse,2019-11-03,Manhattan,Harlem,94.0,10.0,9.0,40.80481,-73.94794,Apartment,Entire home/apt,3,1,0,0,110.0,500.0,65.0,1,2,37.0,2019-11-03,1.53,159,347,20
